BookURI_STYLO	WORD_COUNT	authorURI	BookCats	BookID	BookTitle
1331JurjiZaydan_AbuMuslimKhurasani	70297	1331JurjiZaydan	novels	41728357	أبو مسلم الخراساني
1331JurjiZaydan_AminWaMamun	58897	1331JurjiZaydan	novels	75919582	الأمين والمأمون
1331JurjiZaydan_ArmanusaMisriyya	62094	1331JurjiZaydan	novels	71858151	أرمانوسة المصرية
1331JurjiZaydan_AsirMutamahdi	68582	1331JurjiZaydan	novels	29513059	أسير المتمهدي
1331JurjiZaydan_CabbasaUkhtRashid	52098	1331JurjiZaydan	novels	81504027	العباسة أخت الرشيد
1331JurjiZaydan_CabdRahmanNasir	55877	1331JurjiZaydan	novels	74268029	عبد الرحمن الناصر
1331JurjiZaydan_CadhraQuraysh	57995	1331JurjiZaydan	novels	92527518	عذراء قريش
1331JurjiZaydan_CarusFarghana	56151	1331JurjiZaydan	novels	36379464	عـروس فرغانة
1331JurjiZaydan_FatatGhassan	109635	1331JurjiZaydan	novels	59429042	فتاة غسَّان
1331JurjiZaydan_FatatQayruwan	57419	1331JurjiZaydan	novels	69729647	فتاة القيروان
1331JurjiZaydan_FathAndalus	65234	1331JurjiZaydan	novels	40915851	فتح الأندلس
1331JurjiZaydan_GhadatKarbala	60049	1331JurjiZaydan	novels	13604281	غَادَةُ كرْبَلاء
1331JurjiZaydan_InqilabCuthmani	59846	1331JurjiZaydan	novels	26938058	الانقلاب العثماني
1331JurjiZaydan_Ramadan17	52251	1331JurjiZaydan	novels	96940275	١٧ رمضان
1331JurjiZaydan_SalahDinAyyubi	58220	1331JurjiZaydan	novels	39482082	صـلاح الـدين الأيـوبي
1331JurjiZaydan_ShajaratDurr	51710	1331JurjiZaydan	novels	83513693	شجرة الدر
1331JurjiZaydan_SharlWaCabdRahman	62093	1331JurjiZaydan	novels	61641316	شارل وعبد الرحمن
1331JurjiZaydan_TarajimMashahir01	97050	1331JurjiZaydan	history	49464279	تراجم مشاهير الشرق في القرن التاسع عشر (الجزء الأول)
1331JurjiZaydan_TarikhAdabLughaCarabiyya	348817	1331JurjiZaydan	literary.criticism	18683951	تاريخ آداب اللغة العربية
1331JurjiZaydan_TarikhMisr02	82347	1331JurjiZaydan	history	92924059	تاريخ مصر الحديث مع فذلكة في تاريخ مصر القديم (الجزء الثاني)
1331JurjiZaydan_TarikhTamaddunIslami1	62499	1331JurjiZaydan	history	26382506	تاريخ التمدن الإسلامي (الجزء الأول)
1340FarahAntun_DinWaCilmWaMal	16128	1340FarahAntun	novels	70246068	الدِّينُ والعِلمُ والمال
1340FarahAntun_FalsafatIbnRushd	17833	1340FarahAntun	philosophy	13939717	فَلسَفَةُ ابنِ رُشْد
1340FarahAntun_IbnShacb	15257	1340FarahAntun	plays	15917424	ابن الشعب
1340FarahAntun_UrashalimJadida	61644	1340FarahAntun	novels	73918028	أورشليم الجديدة
1340FarahAntun_WahshWahshWahsh	21512	1340FarahAntun	novels	36950604	الوحش . الوحش . الوحش
1342MustafaLutfiManfaluti_Cabarat	38980	1342MustafaLutfiManfaluti	novels	29373683	العبرات
1342MustafaLutfiManfaluti_Fadila	38487	1342MustafaLutfiManfaluti	novels	24684962	الفضيلة
1342MustafaLutfiManfaluti_FiSabilTaj	19854	1342MustafaLutfiManfaluti	novels	85247571	في سبيل التاج
1342MustafaLutfiManfaluti_Majdulin	50481	1342MustafaLutfiManfaluti	novels	74280904	ماجدولين
1342MustafaLutfiManfaluti_Nazarat	140394	1342MustafaLutfiManfaluti	literature	94061468	النظرات
1342MustafaLutfiManfaluti_Shacir	43291	1342MustafaLutfiManfaluti	novels	27916469	الشاعر
1348AhmadTaymurBasha_AbuCalaMacarri	31487	1348AhmadTaymurBasha	literary.criticism	28041486	أبو العلاء المعري
1348AhmadTaymurBasha_AclamMuhandisinFiIslam	17129	1348AhmadTaymurBasha	biographies, history	58350282	أعلام المهندسين في الإسلام
1348AhmadTaymurBasha_AmthalCammiyya	121143	1348AhmadTaymurBasha	literature	75241938	الأمثال العامية: مشروحة ومرتبة حسب الحرف الأول من المثل
1348AhmadTaymurBasha_AtharNabawiyya	27715	1348AhmadTaymurBasha	history	72916402	الآثار النبوية
1348AhmadTaymurBasha_AwhanShucaraCarabFiMacani	21147	1348AhmadTaymurBasha	literary.criticism	82470468	أوهام شعراء العرب في المعاني
1348AhmadTaymurBasha_HubbWaJamalCindaCarab	28358	1348AhmadTaymurBasha	literature	80268240	الحب والجمال عند العرب
1348AhmadTaymurBasha_KinayatCammiyya	23199	1348AhmadTaymurBasha	literature, linguistics	93047907	الكنايات العامية
